,SA,SAlin,SAexp
0,1.0945074129158632,1.6569100695684518,1.1452217751703628
1,0.78271798672703,1.6144591475655392,0.854397247361405
2,0.8616232500697847,1.4796671594614064,1.1740061118240352
3,0.7282355111841365,1.618542931232506,1.1508755194946052
4,2.0022189480599577,1.4419200644171375,1.4260662513843598
5,0.25549217761272935,1.959754965347741,1.7011254089100003
6,0.1932575971893649,1.3172829717623487,2.0044845044497617
7,0.6584551384743245,1.2260316416568946,1.1520488183798356
8,0.4679693838189944,0.4163876304578325,1.9428728888751268
9,0.2303345129664019,1.4229044095523364,0.29331240133381103
