,HC,HC1,HC2
0,2.5839273295826533,2.244362326810985,2.1188937806485724
1,2.401283897596922,2.244362326810985,1.8570161730816783
2,2.212587744273995,2.1445940969296258,1.6550901544230912
3,2.212587744273995,1.901917080937885,1.607656735389981
4,2.0967268496147358,1.8678346665483376,1.5314950877109539
5,2.089033415430909,1.8478872705742508,1.486319417694294
6,2.0746245782197974,1.8012664840656092,1.486319417694294
7,2.0682401302268216,1.798444811134373,1.440138419065027
8,2.019623890425434,1.7636461764304072,1.4060098946906523
9,2.0175438565145285,1.7636461764304072,1.3730375686265124
10,1.9975806203233728,1.7636461764304072,1.3730375686265124
11,1.9777529735550317,1.7636461764304072,1.3730375686265124
12,1.9777529735550317,1.76344506024436,1.3251739206050133
13,1.9463274109163924,1.7601377841094537,1.3251739206050133
14,1.9463274109163924,1.7601377841094537,1.289436408190538
15,1.9435025815425375,1.733239422350168,1.289436408190538
16,1.9435025815425375,1.733239422350168,1.289436408190538
17,1.9187860175239817,1.733239422350168,1.2634739701570117
18,1.9187860175239817,1.7011831833869073,1.2634739701570117
19,1.9187860175239817,1.7011831833869073,1.2626960256310404
20,1.9187860175239817,1.6679900700472456,1.2626960256310404
21,1.9126008050257082,1.6679900700472456,1.2626960256310404
22,1.9126008050257082,1.6598325778723433,1.2626960256310404
23,1.9065250111934438,1.6194875411093503,1.2050352212140747
24,1.9065250111934438,1.616661480106129,1.2050352212140747
25,1.9065250111934438,1.616661480106129,1.1806611525080313
26,1.9031981470356905,1.616661480106129,1.1806611525080313
27,1.9031981470356905,1.616661480106129,1.1806611525080313
28,1.9031981470356905,1.5719228851327727,1.1806611525080313
29,1.899717437621931,1.5719228851327727,1.1806611525080313
30,1.899717437621931,1.5653384312986498,1.1806611525080313
31,1.8881556671270139,1.5653384312986498,1.1806611525080313
32,1.8881556671270139,1.5653384312986498,1.1806611525080313
33,1.8881556671270139,1.5653384312986498,1.1806611525080313
34,1.8881556671270139,1.5653384312986498,1.1732896820495717
35,1.8881556671270139,1.5653384312986498,1.1732896820495717
36,1.8881556671270139,1.5653384312986498,1.1732896820495717
37,1.8881556671270139,1.5623991745934038,1.1732896820495717
38,1.8872757359416297,1.5623991745934038,1.1557423359360421
39,1.8872757359416297,1.5623991745934038,1.1557423359360421
40,1.8872757359416297,1.5623991745934038,1.1557423359360421
41,1.8872757359416297,1.5623991745934038,1.1490190440763979
42,1.881005509214709,1.5617206081419264,1.1490190440763979
43,1.881005509214709,1.5617206081419264,1.1490190440763979
44,1.881005509214709,1.5617206081419264,1.1490190440763979
45,1.881005509214709,1.4834856013574325,1.1490190440763979
46,1.881005509214709,1.4834856013574325,1.1490190440763979
47,1.881005509214709,1.4834856013574325,1.1490190440763979
48,1.881005509214709,1.4834856013574325,1.1412134529441036
49,1.881005509214709,1.4586947638817618,1.1412134529441036
50,1.881005509214709,1.4586947638817618,1.1412134529441036
51,1.881005509214709,1.4564865270620262,1.1412134529441036
52,1.881005509214709,1.4564865270620262,1.1412134529441036
53,1.881005509214709,1.4564865270620262,1.1288513705629952
54,1.881005509214709,1.4564865270620262,1.1288513705629952
55,1.8767102802236337,1.4564865270620262,1.1288513705629952
56,1.8767102802236337,1.4564865270620262,1.1288513705629952
57,1.8767102802236337,1.4355528570845386,1.1288513705629952
58,1.8767102802236337,1.4355528570845386,1.1288513705629952
59,1.8719459875699385,1.4355528570845386,1.1288513705629952
60,1.8719459875699385,1.4355528570845386,1.121513342020406
61,1.8719459875699385,1.3674161399665918,1.121513342020406
62,1.8717877065978166,1.3674161399665918,1.1093228291123953
63,1.8717877065978166,1.3674161399665918,1.1093228291123953
64,1.8683217177031564,1.3624554139460894,1.1093228291123953
65,1.8666757144960413,1.3624554139460894,1.1093228291123953
66,1.8638900353212726,1.3624554139460894,1.1093228291123953
67,1.8632844262471435,1.3624554139460894,1.1093228291123953
68,1.8632844262471435,1.3326557598671198,1.1049717078050068
69,1.8632844262471435,1.3326557598671198,1.1049717078050068
70,1.8632844262471435,1.2716681354959443,1.1049717078050068
71,1.8632844262471435,1.2716681354959443,1.1049717078050068
72,1.8500880954941556,1.2600773392529756,1.1049717078050068
73,1.8500880954941556,1.2588008482633173,1.1049717078050068
