,SA,SAlin,SAexp
0,2.0012783749478777,1.6504618828486384,0.9828346203887426
1,1.0025040869589366,1.234437350494606,1.118362763799822
2,0.6307665286706042,2.052892941036226,1.1621304731377824
3,0.1845615723842766,1.8285430461363534,0.672877965731616
4,2.001809349888495,1.5997853094959484,1.511255168370705
5,1.4663938017915465,1.6311860888536236,0.8100490616639149
6,0.7707642636855374,1.2818222718583256,1.0853978710702656
7,1.9989272624376015,1.580176338720759,1.2804313047111338
8,0.3224094538587098,1.5447415671554003,1.2082029415582596
9,1.439590598206761,1.0843568727804782,1.9551577879216264
