,SA,SAlin,SAexp
0,2.5839273295826533,2.5839273295826533,2.5839273295826533
1,2.26251958002507,2.2576038868239134,2.450867287532784
2,2.2995410829926013,2.517142144093826,2.2783559381645273
3,2.2226897693034964,2.465012349806256,2.2654390516727303
4,2.1890445213888183,2.247319468574925,2.7931369296953195
5,2.081195038583194,2.62139424394657,2.3157260260097483
6,1.9661852904914896,2.3978241724575593,2.303597419138708
7,2.0377900896332473,2.2604700002662015,2.3212431480853764
8,2.042762933074897,2.530148731567046,2.446885854659661
9,1.9856687161214717,2.5290164980488448,2.2574067412469936
10,1.8171116417646402,2.367664856823646,2.3537192114340164
11,1.6522459796977824,2.583958630030301,2.332243572533441
12,1.6440463685463687,2.748551711940275,2.281687410211605
13,1.6133804062465393,2.6447264522231557,2.1905300576593327
14,1.6071403009232004,2.406219901816768,2.3397986089649545
15,1.5754424969093226,2.297082815939099,2.4246243140510226
16,1.5819627220587904,2.2583764775352524,2.3670366019493234
17,1.5253362941041182,2.3058852881341605,2.3101042208438862
18,1.5174598969005986,2.43118021146996,2.391048740876498
19,1.5087189706899036,2.4593928950245654,2.3075650515620603
20,1.5279376464161771,2.449501066935207,2.200338062707749
21,1.4895401759507045,2.470298853554951,2.2602851788998684
22,1.4820750567735628,2.5886063973646025,2.234970278152541
23,1.4728437312550116,2.4342218978514283,2.286242707196767
24,1.454881066816949,2.368927594681833,2.067573309974366
25,1.4386940075739034,2.4789993639309076,1.9146466601319019
26,1.4432534738923153,2.386920054132306,1.9087472562335932
27,1.3983262686048872,2.299999517652983,2.0190505031275428
28,1.3922905991858372,2.5221706563367436,2.1354003897795937
29,1.396707190332277,2.399450492543599,1.9872703360396753
30,1.3937128615060939,2.350485652922075,1.973874433083192
31,1.393211822903046,2.32871667804156,1.826727911439363
32,1.3874446363314588,2.5718585865390344,1.8250982791343306
33,1.3831078459521011,2.435793357161891,1.776189457196448
34,1.3729615312160073,2.3739220775919616,1.7329160501295595
35,1.3691634700821786,2.2783560362654733,1.79549021639524
36,1.3732087419368546,2.3993761415783283,1.7037994797030438
37,1.3719331740369074,2.5174601114769932,1.6882080345144825
38,1.3721179980324685,2.23916287277317,1.6881730476699814
39,1.3568258571462621,2.2146813097460694,1.6991728743108347
40,1.3594072089699523,2.339836301285506,1.654423164876544
41,1.3563057860814893,2.3055848111197133,1.6450012448233529
42,1.3552775654808114,2.3330148139457108,1.6310481670308692
43,1.3542643873723237,2.2268779231171814,1.619894650742083
44,1.3429120486535164,2.284300995699266,1.622366129323288
45,1.3430267306776609,2.306867687419566,1.6130597265026612
46,1.342120113081824,2.17909199554986,1.5792712972993748
47,1.3436672898765116,2.2594093597025373,1.5756185919107233
48,1.3406661378380744,2.3419080361989137,1.545548250197986
49,1.339297228923433,2.3571618210629466,1.5317505382453809
50,1.3374712649842286,2.393089849588746,1.532466079672716
51,1.3380828035672336,2.2418031108761722,1.5434740774255487
52,1.3373672120189473,2.355031890525323,1.5404973883329909
53,1.331008490762813,2.207890229907136,1.5331324406129998
54,1.3243090732423775,2.3808195267553067,1.5061322505981694
55,1.324325556407415,2.2745250944513966,1.4930251045782903
56,1.3183749484680296,2.2886047369890212,1.4948754087059077
57,1.3125524937423105,2.304879386684581,1.4663362269984361
58,1.3007352916955668,2.309574588397114,1.4560245637527047
59,1.294189832271881,2.1548755006285805,1.4409605796184572
60,1.292272170242988,2.3070856062708085,1.4225389606276386
61,1.2926359974242598,2.3540754556522847,1.4203967327412406
62,1.288690121229399,2.2943627443197565,1.4276624259746813
63,1.2886413302900137,2.388402349109386,1.424765291573529
64,1.288495854458586,2.325881979179752,1.4046293831299899
65,1.288495854458586,2.2658146116085103,1.405030090874933
66,1.287942037008419,2.347582828357227,1.4024693577331881
67,1.2877094247043628,2.3337940522130785,1.390836807985215
68,1.28543638555007,2.224417951656709,1.3894440633448029
69,1.2849462957156517,2.2228097604147643,1.3838447577874875
70,1.2827382330302028,2.223827682740084,1.3732112581417515
71,1.2824532656370422,2.2665756308768907,1.3692875901565382
72,1.269719380954251,2.262927801579732,1.3668284199333627
73,1.269714195934173,2.277449847364799,1.364029486988912
74,1.2545406019516696,2.243133720809752,1.3569600489999734
75,1.254371967534212,2.26699276854921,1.3571835902210179
76,1.253980882556658,2.099960299062162,1.355198518475623
77,1.2531000572560065,2.247220418500735,1.3455241561517266
78,1.2531000572560065,2.1994098603638026,1.3430230785614712
79,1.2507384562793178,2.149960650153684,1.337943878673109
80,1.2421034464393668,2.223097165155677,1.3353077264850979
81,1.2424073079663345,2.135992165716774,1.3353077264850979
