,HC,HC1,HC2
0,1.6810704529725538,0.32696573767116005,0.19996462962242684
1,0.24323267765604067,0.1401676362276305,0.3181465612334851
2,1.6704445049458945,0.3014568689423094,0.29188000744679976
3,1.67607740821679,0.13783174089633965,0.19381202000197287
4,1.6756704155934856,0.19600998731756802,0.4083253282379322
5,1.6755326915126751,0.16768581521714,0.2490990826614759
6,1.6691586670135719,0.2439522274995644,0.28299091465888143
7,1.6688703980267476,0.16094836687561348,0.13699295467624506
8,0.23082198970533552,0.24325176985447028,0.20416602753482427
9,1.6698802366099534,0.20158838148554137,0.22431206198174575
