,HC,HC1,HC2
0,2.583927329582654,2.2443623268109847,2.1188937806485724
1,2.436022897458844,2.2175894323378933,1.9804363563002862
2,2.348973141176121,2.0120098224879177,1.780015449535151
3,2.298773916196715,1.9635181924801448,1.676192165184938
4,2.168899699933549,1.8831931514460292,1.5752360213401706
5,2.162951590136152,1.795121339945311,1.5752360213401706
6,2.110567708832169,1.7919357133377534,1.5525700010194157
7,2.0813042189658786,1.7857855402669212,1.5417351448126342
8,2.063158542933095,1.7746969134579407,1.4964729020172969
9,2.005888800965624,1.7746969134579407,1.4199991864066572
10,2.0045506641008464,1.756667737563656,1.3809569007824574
11,1.9962852575093295,1.6942964473024849,1.3805149897388964
12,1.9901514903581565,1.6707401924365937,1.3695254134444728
13,1.9653596218786402,1.6707401924365937,1.3607987426380832
14,1.9457814690234048,1.6707401924365937,1.3607987426380832
15,1.938108405830617,1.6584232088264255,1.3255403737276092
16,1.9281422818772167,1.655829501702554,1.2861450297388402
17,1.9281422818772167,1.6309129190354466,1.2681850617124768
18,1.9267177756092024,1.6111934940327377,1.2628071736499287
19,1.9267177756092024,1.5748327610379524,1.26249599583954
20,1.9238613243961504,1.5373765512744288,1.2445055484229277
21,1.9159077562320312,1.4876754483535775,1.2428397242800129
22,1.9159077562320312,1.4521732551173032,1.2346096414609882
23,1.9119354185646207,1.4355039271587842,1.2346096414609882
24,1.9052623060242324,1.4333375756832487,1.231629667100426
25,1.9025370316124601,1.4287992356964623,1.2245843548779842
26,1.9025370316124601,1.4287992356964623,1.2245843548779842
27,1.9025370316124601,1.3870122721788014,1.2245843548779842
28,1.9025370316124601,1.3855857557168736,1.2237794073487778
29,1.898405973732446,1.3793845157952525,1.2232126043176919
30,1.898405973732446,1.3753897104361013,1.2232126043176919
31,1.893319850624456,1.3648430873191015,1.2086824768459905
32,1.892008508651575,1.353768685146389,1.2077284514741946
33,1.887208089200015,1.353768685146389,1.2077284514741946
34,1.8812812027840797,1.332297835447644,1.2077284514741946
35,1.8812812027840797,1.3322474487375513,1.1781312317125532
36,1.8714487606159782,1.3128363261813667,1.1781312317125532
37,1.8697123643421123,1.3128363261813667,1.1776848692711
38,1.8687812950290676,1.3128363261813667,1.1598984865046282
39,1.8687812950290676,1.3128363261813667,1.1424918773869113
40,1.8687812950290676,1.3024091754496168,1.1335592310700657
41,1.8641197777695095,1.3016032736291698,1.121193418771299
42,1.8627201780480267,1.3016032736291698,1.120439216660813
43,1.8627201780480267,1.3001515154591436,1.120439216660813
44,1.8604912662913782,1.2755078200514738,1.1198695573442574
45,1.8590815276940795,1.2755078200514738,1.1198695573442574
46,1.8572404836459573,1.2755078200514738,1.1198695573442574
47,1.8572404836459573,1.2755078200514738,1.113925023168165
48,1.8572404836459573,1.2755078200514738,1.109137146714353
49,1.8572404836459573,1.2226563716585657,1.1086705176160037
50,1.8572404836459573,1.2220018704213855,1.1086705176160037
51,1.8572311405616826,1.2220018704213855,1.1082225826863006
52,1.8572311405616826,1.2220018704213855,1.1032381387162429
53,1.8572311405616826,1.2220018704213855,1.1032381387162429
54,1.8572311405616826,1.2220018704213855,1.1032381387162429
55,1.8572311405616826,1.2220018704213855,1.1032381387162429
56,1.8572311405616826,1.2220018704213855,1.1032381387162429
57,1.8572311405616826,1.2220018704213855,1.1032381387162429
58,1.8568328918461983,1.2220018704213855,1.0927600102743795
59,1.8493453039447976,1.220782576723549,1.0916501312421398
60,1.8454404811354677,1.220782576723549,1.0916501312421398
61,1.8454404811354677,1.220782576723549,1.0916501312421398
62,1.841105797196991,1.2192060832271057,1.0902626100086372
63,1.841105797196991,1.2192060832271057,1.0901453903542744
64,1.841105797196991,1.2192060832271057,1.0901453903542744
65,1.8380640567237683,1.2192060832271057,1.0901453903542744
66,1.836192332309783,1.2192060832271057,1.0901453903542744
67,1.836192332309783,1.2192060832271057,1.0901453903542744
68,1.836192332309783,1.2192060832271057,1.0901453903542744
69,1.836148933637071,1.2192060832271057,1.0901453903542744
70,1.8361444518122794,1.2192060832271057,1.0901453903542744
71,1.8361444518122794,1.2192060832271057,1.0830861865108685
72,1.8361444518122794,1.2192060832271057,1.0830861865108685
73,1.8361444518122794,1.2183665919709286,1.0800031090304585
74,1.8361444518122794,1.2183665919709286,1.0800031090304585
75,1.8361444518122794,1.2147162786533243,1.0799610185157518
76,1.8361444518122794,1.1997673526313704,1.07891729461621
77,1.8343440240755946,1.1987789436404046,1.0741789584760746
78,1.834132958539716,1.1965370104698438,1.0524606169477342
79,1.8213443758142027,1.1962711222284035,1.0414996790250297
80,1.8213443758142027,1.1716622846194944,1.0414996790250297
81,1.8213443758142027,1.1673630817663951,1.0414996790250297
82,1.8213443758142027,1.166509052205748,1.03907590274432
83,1.8169089995768073,1.166509052205748,1.03907590274432
84,1.8169089995768073,1.166509052205748,1.03907590274432
