,SA,SAlin,SAexp,SA1,SA2
0,2.583927329582654,2.583927329582654,2.583927329582654,2.2443623268109847,2.1188937806485724
1,2.29113099473675,2.3310656365357367,2.217377382944925,2.34909285374208,2.448577241592618
2,2.256644034460269,2.260177688222178,2.400331156013344,2.335034311454837,2.3091257827390312
3,2.357356662040448,2.3075696355539503,2.4304771254557966,2.3913561804862487,2.6129073187287397
4,2.2842490462705203,2.33882381653979,2.4829273959860347,2.3161714736037,2.3772278586880167
5,2.2572118333848334,2.3110545781853373,2.2776891795932257,2.2744295030188995,2.3320927338813817
6,2.197711456127866,2.5333076996790593,2.39448573438132,2.2709135468177712,2.3225976222932703
7,2.0836158521119104,2.387998480257708,2.250386524659432,2.060983545270021,2.169801909971304
8,2.033844917988597,2.26448263083955,2.194290432041156,2.0605967963409215,2.122034093793808
9,1.994606182442241,2.2361193551956258,2.362460911961146,1.875857744147218,2.0469096127697477
10,1.8418338189648944,2.418655682984624,2.3099971279968843,1.7849878785363964,1.9248096931422425
11,1.8285192504824574,2.2912594279493628,2.4014287188421752,1.779476469807985,1.9267172344728793
12,1.813861747679224,2.4003032854996307,2.3248151881666392,1.7047224989491183,1.8458095164204475
13,1.6884882971205388,2.3628962838586047,2.2545610617628338,1.6619031106767794,1.7988191918879164
14,1.6507792307075815,2.27687934164203,2.2289996989795817,1.6362420609606996,1.772661122998315
15,1.633164784622433,2.4804011693956456,2.2374992180903406,1.6114579209723892,1.7534095856599765
16,1.6017621540476892,2.4566090077363194,2.285665584723528,1.581986632345176,1.7216212072002024
17,1.5720457908134027,2.6106690589721255,2.2276306606126606,1.5651728478935683,1.7224010597931143
18,1.5434002666061564,2.3454144948617293,2.1520802529970013,1.5335344974697962,1.6941384343090051
19,1.5308446261182715,2.414174711025003,2.1091517989091746,1.5170687524832744,1.6974213469298323
20,1.4992281484388377,2.5252490245573647,2.1917982690313615,1.510753798360467,1.6702094100550195
21,1.5058752137012203,2.443245350486864,2.034276372954056,1.5030850480033662,1.6681303109449805
22,1.468224119678689,2.3527463338094847,2.1336330730821587,1.4931786359865669,1.64602071663422
23,1.4261615410841322,2.304677754031031,2.146126373315128,1.4984375782714996,1.634317081878467
24,1.4095717873567528,2.4240832118724276,2.0250058064715986,1.4842465053684422,1.617308750692697
25,1.39074832466353,2.43757723876372,2.009414535087134,1.4665491909022028,1.5915194734360432
26,1.3816246525385951,2.3621507045592516,2.0753933960294426,1.458824394996916,1.5652847585859284
27,1.369288156668622,2.445756376168221,2.021143793376372,1.4573261870525116,1.5565478454681343
28,1.3716764660357295,2.366413052999043,1.96446790975922,1.4415602665153284,1.543711143542033
29,1.359221041394607,2.4383477624787147,1.9721413652636677,1.4254740333903477,1.5299537338485134
30,1.3536071875606928,2.3900420709631174,1.8621763186210583,1.4226189959704025,1.5262941721107968
31,1.3483541480437247,2.363941097528781,1.842345727849699,1.4143799702350504,1.5179630875021284
32,1.338185390938993,2.417835471931332,1.7981725275265543,1.4002332472557724,1.516679219325358
33,1.3228280363976799,2.3419599902046246,1.745452342694061,1.3998447204705629,1.5070700229099292
34,1.3131846452411413,2.3066904418737653,1.6850455728307359,1.374192100768628,1.4980942964804524
35,1.3061633189018909,2.3362347779137798,1.6735544021335063,1.3670017033022592,1.4935488328042719
36,1.300993404714544,2.357471551179767,1.6919441180762762,1.3624265379689913,1.4897002870668616
37,1.2994853864494282,2.4082369079841968,1.6523714967615826,1.3602053707535045,1.4746152763992129
38,1.291359188117667,2.2333680459143097,1.599853877875669,1.3589695327892868,1.4356127516080393
39,1.288958940029328,2.391707191736841,1.5852717942104828,1.3525856021994198,1.4315615395470362
40,1.2820784510662404,2.300788189476543,1.535581249056058,1.3501749389232542,1.42564655521585
41,1.2781457372798022,2.358532699405041,1.544017887931523,1.3460586763044997,1.4180475274256978
42,1.2736455221996723,2.368099500810965,1.5051795120508722,1.3443619607983883,1.411763962112746
43,1.2713511459638647,2.430485042669234,1.4723027654479972,1.3436050793569083,1.396817064737738
44,1.269327453682386,2.2902901628947046,1.4124017167703011,1.3435095521096945,1.3960364492252841
45,1.263492453017939,2.2890787545152507,1.407483628421494,1.3406873928561143,1.3926961702829166
46,1.2525276825400402,2.3786949511027706,1.3941652414178454,1.3379694904934056,1.3908052044646222
47,1.2470303530233304,2.3688769011158977,1.3949391268441855,1.3350812776745835,1.3863235124849072
48,1.2459423792292348,2.316500121493748,1.382792897824826,1.3317756294372367,1.3830826482497856
49,1.2465044309111672,2.3770712956674185,1.3897283948102659,1.329915245255966,1.382674895867334
50,1.233614669899531,2.3557514448314874,1.3816564784930683,1.3271644595206833,1.381956418728656
51,1.2327395906436085,2.4346319915042502,1.354494338325038,1.3247556317937013,1.3800403065679443
52,1.2275624029463508,2.322659111911218,1.3416919912325074,1.32353680016704,1.3783186888019883
53,1.2050680163952605,2.3509506064491417,1.3417591646443223,1.3078775967903273,1.374610832968706
54,1.2034207301307052,2.3309958027430135,1.3313168156680744,1.2996860098598062,1.372736921282571
55,1.1983514177129075,2.3535383997595867,1.3223372197759762,1.2942272401240524,1.3730432301069335
56,1.1984931181707574,2.325699960847338,1.3158945843485472,1.2932482927413944,1.364380563436382
57,1.197127460642159,2.204191561420508,1.3067338231548113,1.292554024413485,1.3636570477952534
58,1.1924662683094167,2.37612703323631,1.299498180450072,1.2889012617713744,1.3541504940603555
59,1.1908074020002368,2.342860631736149,1.2915231927810409,1.2818790443150463,1.3498678980302325
60,1.1885576425071864,2.3046369051725266,1.282278641322701,1.261669795549646,1.3451187209950708
61,1.188543712554403,2.3474260101822306,1.2795285359416273,1.2573263118871398,1.3433150986711302
62,1.1835822474223305,2.34296109926931,1.271549733149713,1.2529541560970794,1.3416993102056056
63,1.1674388465104153,2.2792071165390593,1.2668381557838715,1.2511367872553611,1.3388818368525088
64,1.1628937315426486,2.2041088094924106,1.2581328603286663,1.2501206977834562,1.335414194296956
65,1.1598629019018114,2.3084633264182304,1.2486361585965606,1.2481170322703656,1.3349243783206974
66,1.1555138800675575,2.2128114565035713,1.2430731612542814,1.246458896970506,1.334110316888217
67,1.1354180462463341,2.3605574947198145,1.2229013280866967,1.2443608886204816,1.3291154632854174
68,1.1309452536572602,2.253818649098025,1.2222656663530869,1.2414744548717325,1.3281142122518252
69,1.1195833702203164,2.2639209663350064,1.2146516289113831,1.2385068682960552,1.327177177746575
70,1.1194301417792232,2.169385117988026,1.2086782192948886,1.2355689467122342,1.3246162968549777
71,1.1190317914931818,2.2250844361241473,1.2066520051265806,1.2347359151894564,1.3225327498545876
72,1.1177999318336083,2.2981763138707443,1.1978910933909397,1.2322022097124112,1.3158343423497039
73,1.1178012710535534,2.139020583249393,1.1943604995153543,1.2288580412259713,1.3153800846574466
74,1.1176111885885984,2.153992769130356,1.1932265588895723,1.2259639299683651,1.3068993306871977
75,1.1156925252303906,2.211064336141627,1.1830094243112972,1.2237480454396337,1.3043633673408461
76,1.1061592558619864,2.154848363018331,1.1820918969941263,1.2218692681039793,1.300802453781066
77,1.1019915144577315,2.1270734101475206,1.1780756854060541,1.2208048001159766,1.2978339874246316
78,1.0991450637868585,2.0846987054550787,1.1753672034785754,1.2179146664829712,1.2978339874246316
79,1.0991172735263504,2.097983829094102,1.1718453672992626,1.2166981833922956,1.2974155673742493
80,1.0991217815461336,2.0903463778984106,1.1667810898886295,1.2165243663177037,1.295240243940206
81,1.093035990240296,2.0669961308059315,1.164119099816073,1.21436434380195,1.2906355551580067
82,1.093035990240296,2.039017000978152,1.1581336007020229,1.210736163103464,1.2889813635072351
83,1.0914568251850867,2.026823021172549,1.1542974263032564,1.208261913998919,1.2889753436154492
84,1.0913885209090473,2.063627416727031,1.1457391107191697,1.2078686723197374,1.2885847450576433
85,1.0913885209090473,2.039769505702155,1.1458023737723588,1.205967304137796,1.2875928830157939
86,1.0888703392793835,2.0391263470925387,1.1427805895764536,1.2030580272293132,1.285608758635255
87,1.0880719543830624,2.0205574035974507,1.1391029970257112,1.2023350703198374,1.2787050076388196
88,1.0878556980159042,1.982190249124254,1.1379255734428333,1.1998953605242302,1.2779955140434336
89,1.0874859927506968,1.9259138043098798,1.1371717674045234,1.1998924195015064,1.275118137443491
90,1.0865887294075018,1.9208059592384044,1.1356729862828914,1.1996526052795713,1.2742589504482889
91,1.0864571861837364,1.84858326403464,1.1316142219863974,1.1970648314245609,1.2657528285026307
92,1.0855273584163763,1.8561164536566117,1.1311822409982548,1.196648284825745,1.2652301073632113
93,1.0809051748966,1.8658424388007164,1.1261084023014518,1.1941414194609317,1.2627249466626507
94,1.0809051748966,1.7526376701330422,1.1230363190237407,1.192842512660753,1.2627742835290598
95,1.0809051748966,1.7289912427076353,1.122404802075887,1.1728491198840743,1.26202183612428
96,1.0806162257472092,1.7092926157857324,1.120428031345091,1.1653102596771838,1.2600986390819024
97,1.0803346007536074,1.68064615174905,1.1172518838518695,1.1617556596581098,1.2592441065613442
98,1.0772607192548977,1.6520652841604864,1.1101368635817606,1.160097502372797,1.2583266286064487
99,1.075817471296454,1.6350782020871648,1.1065365478744222,1.1591922425568777,1.2582720800735518
100,1.0708145687306836,1.6111369228352124,1.1054276293352532,1.154852242767049,1.2571257182738131
