,HC_mean,HC_std,SA_mean,SA_std
0,1.9949038664484742,0.0,2.1194824354875896,0.0
1,1.0350091896333025,0.0,2.3361278345248104,0.0
2,1.704990450308086,0.0,2.2078209213203803,0.0
3,1.889877324567585,0.0,2.2116645145949168,0.0
4,1.8423141758843817,0.0,2.1526285773603497,0.0
5,2.0275546128162185,0.0,2.203130559858084,0.0
6,1.8428868731223758,0.0,1.9598082089477704,0.0
7,1.8232335831169544,0.0,2.168730998395345,0.0
8,1.8529368629207754,0.0,2.3954765104241638,0.0
9,2.007295945133001,0.0,2.1646419249073854,0.0
