,HC_mean,HC_std,SA_mean,SA_std
0,1.966984003546351,0.0,2.2536272069289844,0.0
1,1.8487391824489456,0.0,1.8637027101547483,0.0
2,1.7497788679949635,0.0,2.1231110434519342,0.0
3,2.0321266637717197,0.0,2.2971428582566364,0.0
4,2.1162909389496636,0.0,2.1882997033497467,0.0
5,1.2093120435335531,0.0,2.2558833893321433,0.0
6,1.785235159070604,0.0,2.380436214616675,0.0
7,1.607720594486329,0.0,2.301020438576087,0.0
8,2.005295934411391,0.0,0.8526004315876552,0.0
9,1.5918050856807202,0.0,1.7637468143921706,0.0
