,HC_mean,HC_std,SA_mean,SA_std
0,1.9180100028207892,0.0,2.3765237879901466,0.0
1,1.9022410802017797,0.0,2.701233644365701,0.0
2,2.120947727582373,0.0,2.0701729042167805,0.0
3,1.8898863813454354,0.0,2.0422726934632878,0.0
4,1.6592067561927273,0.0,1.7364902453189308,0.0
5,1.5814554764451256,0.0,3.4147157750346455,0.0
6,1.801959580556363,0.0,2.3054026958793683,0.0
7,0.5976613596089084,0.0,2.04078207329605,0.0
8,1.3069689630895462,0.0,4.388152940792912,0.0
9,1.9116664283072038,0.0,1.897587510858259,0.0
