,HC_mean,HC_std,SA_mean,SA_std
0,1.4181491883297812,0.0,2.221496429080701,0.0
1,1.8571320481591012,0.0,2.2488241155578734,0.0
2,1.9635348673052855,0.0,2.1403324107988766,0.0
3,1.8311231694079608,0.0,1.9847407935840597,0.0
4,1.9070971361146922,0.0,2.1980444348597468,0.0
5,1.7697560121370917,0.0,3.0479653750883102,0.0
6,1.8250829252773197,0.0,2.1515659031840797,0.0
7,2.024928411448577,0.0,2.2392939086194277,0.0
8,1.2326382075758415,0.0,2.007118562968441,0.0
9,1.8881006258739061,0.0,2.0895612472618468,0.0
