,HC_mean,HC_std,SA_mean,SA_std
0,1.5575618173921573,0.0,2.552750311456049,0.0
1,1.7478954829417308,0.0,2.069444259575914,0.0
2,1.942147459234117,0.0,2.3650894380023595,0.0
3,1.9318266125616788,0.0,2.1998470213800063,0.0
4,1.957023224112154,0.0,2.128200121673452,0.0
5,1.7941085073507477,0.0,2.3197922295707296,0.0
6,1.9966712044659114,0.0,2.202333104161116,0.0
7,1.4872459272419247,0.0,1.5902128717764983,0.0
8,1.6195326229162808,0.0,1.8222570073310433,0.0
9,1.974673192717958,0.0,2.3588523377797936,0.0
