,HC_mean,HC_std,SA_mean,SA_std
0,0.35298707731099943,0.08247843602074742,1.0048270564143025,0.794790799302429
1,0.6211447644228251,0.4952775959935648,0.9729656272079856,0.7043273119471118
2,0.5751608958502932,0.501013162756643,1.0043121296507254,0.803138801056734
3,0.8569160824330103,0.6851627072657328,0.9507238732888179,0.9088217242521097
4,0.4656431721858928,0.27314679428749045,0.9627386676929904,0.7471617451233973
5,0.37662335870125346,0.10991288102662206,0.9421914680668706,0.8071160874423472
6,0.5249761376037834,0.4711736929142619,0.91190036853823,0.7956393643390083
7,0.39697604259747876,0.26762775706111197,0.9796397029200667,0.6282815826203496
8,0.6332450438975059,0.5178999917411137,0.7195811740669875,0.6862916964061612
9,0.5299226838144835,0.39376832607636425,0.7207148860834411,0.6197167975345774
