,HC_mean,HC_std,SA_mean,SA_std
0,0.42900459877960756,0.27869904301277876,1.2269585511574932,0.6698697920664913
1,0.46639860088937624,0.36363247067356863,0.8559652276807888,0.705742940994356
2,0.582339119836245,0.5205307753752263,0.8168077074324434,0.7649595993939897
3,0.5970664575927527,0.4976500499151184,1.01832107118619,0.7558196016732223
4,0.5015891773014793,0.39573977063311777,0.7888044556163833,0.7719197381286351
5,0.4707829823147513,0.3787199656299243,0.9435036347736372,0.718290386276858
6,0.4844976313441734,0.37906654807929563,0.8920630873758401,0.7816690801597904
7,0.41674823541408607,0.14081535559833927,0.8683301821743202,0.792418999187556
8,0.7365167309358472,0.5969609899544444,0.9663139504018584,0.7209210431465815
9,0.8808223638667093,0.6660068101177805,0.8900429190588969,0.7692211424738981
