,HC05,HC10,HC_start1,HC_start2,SA01,SA025,SA05,SA10,SA25,SA40,SA100,SA_exp,SA_lin,SA_init10,SA_init01
0,2.3174664005472456,2.3174664005472456,1.6464233853512242,1.5781742882650658,1.8145257260386607,1.7442935258391872,1.7115129878410615,1.8795864156434763,1.7703779330795417,1.6656008386411099,1.6553851333099583,1.6488041368130575,1.6961897089247766,1.8396245158253697,1.5296958965816758
1,2.052666831127601,2.0607593517845304,1.7517567735219521,1.8574243232816574,1.8145257260386607,1.7442935258391872,1.7115129878410615,1.8795864156434763,1.7703779330795417,1.6656008386411099,1.6553851333099583,1.6488041368130575,1.6961897089247766,1.8396245158253697,1.5296958965816758
2,1.889468374228155,1.9880886827663642,1.8462487018872118,1.757892458545926,1.8145257260386607,1.7442935258391872,1.7115129878410615,1.8795864156434763,1.7703779330795417,1.6656008386411099,1.6553851333099583,1.6488041368130575,1.6961897089247766,1.8396245158253697,1.5296958965816758
3,1.8129117370141874,1.9277219367682437,1.8756048681805761,1.750527154046946,1.8145257260386607,1.7442935258391872,1.7115129878410615,1.8795864156434763,1.7703779330795417,1.6656008386411099,1.6553851333099583,1.6488041368130575,1.6961897089247766,1.8396245158253697,1.5296958965816758
4,1.7923870128141304,1.8105559353418024,1.7675223761224683,1.880174124519801,1.8145257260386607,1.7442935258391872,1.7115129878410615,1.8795864156434763,1.7703779330795417,1.6656008386411099,1.6553851333099583,1.6488041368130575,1.6961897089247766,1.8396245158253697,1.5296958965816758
5,1.7398949488679913,1.7721530419591958,1.670629130999577,1.7435614157506358,1.8145257260386607,1.7442935258391872,1.7115129878410615,1.8795864156434763,1.7703779330795417,1.6656008386411099,1.6553851333099583,1.6488041368130575,1.6961897089247766,1.8396245158253697,1.5296958965816758
6,1.6801087215588855,1.7049823580670467,1.698580217327085,1.7100529233817983,1.8145257260386607,1.7442935258391872,1.7115129878410615,1.8795864156434763,1.7703779330795417,1.6656008386411099,1.6553851333099583,1.6488041368130575,1.6961897089247766,1.8396245158253697,1.5296958965816758
7,1.6570077627794946,1.6588641574028613,1.6032000023684405,1.6560945873578172,1.8145257260386607,1.7442935258391872,1.7115129878410615,1.8795864156434763,1.7703779330795417,1.6656008386411099,1.6553851333099583,1.6488041368130575,1.6961897089247766,1.8396245158253697,1.5296958965816758
8,1.63513586016762,1.5791075672109804,1.5742350066911308,1.5269453074516302,1.8145257260386607,1.7442935258391872,1.7115129878410615,1.8795864156434763,1.7703779330795417,1.6656008386411099,1.6553851333099583,1.6488041368130575,1.6961897089247766,1.8396245158253697,1.5296958965816758
9,1.5641016406561328,1.5725356505341366,1.4362086123486615,1.3970772464058392,1.8145257260386607,1.7442935258391872,1.7115129878410615,1.8795864156434763,1.7703779330795417,1.6656008386411099,1.6553851333099583,1.6488041368130575,1.6961897089247766,1.8396245158253697,1.5296958965816758
10,1.5488492280159143,1.564980346620662,1.449533385772688,1.358811359557023,1.8145257260386607,1.7442935258391872,1.7115129878410615,1.8795864156434763,1.7703779330795417,1.6656008386411099,1.6553851333099583,1.6488041368130575,1.6961897089247766,1.8396245158253697,1.5296958965816758
