,HC,SA,GA
0,2.3189135493897632,2.2162352172583364,0.5094747209580432
1,1.7598610867167508,2.016418854457087,0.46013909667623176
2,2.056211312621382,2.133304121320211,0.5635073436875799
3,2.6380267338694523,2.1642849803646462,0.4770571941089406
4,1.7981659888553316,2.069261330647359,0.6193832208903416
5,2.7510564227287233,2.0298293636072904,1.3097625499060066
6,2.137041272132193,2.3316819677132523,0.44637366137185114
7,2.2458536402357607,2.0129960293125135,0.47816654029698374
8,2.582977822352282,2.0054467299693286,0.45789512048296477
9,2.151688284995583,1.9527517809992858,0.6421986730114876
