,GA
0,1.1603258964583956
1,0.9481811934838283
2,0.9090770099833437
3,0.8861632725463805
4,0.8469851055759178
5,0.7867693100364334
6,0.6933387993645
7,0.6551665768214676
8,0.6405069789556926
9,0.6292367244494336
10,0.617816445576812
11,0.6152195001249567
12,0.5871728126114991
13,0.578468301815266
14,0.5615130947252207
