,HC,SA,GA
0,1.750448855688629,2.0806483064407777,0.7028057524849921
1,2.997545241938327,2.344863799017948,0.45490919859493617
2,2.229382518510321,2.1412187114249237,0.6383968498294974
3,1.9158692526958994,2.133377285440899,0.82760004062369
4,1.9965510752599311,2.1672564908049115,0.7317027529733926
5,1.647964808951734,2.1106461568877846,0.3803740554699881
6,2.2823911846836222,1.932518655534085,0.8010269222955946
7,1.8485983612641355,1.7285934984166669,0.8489060330067211
8,2.068157743169124,2.033291027510997,0.7157726615677719
9,1.4012206402075957,1.375323314895062,0.5571627942436145
