,GA
0,1.4540612502893648
1,1.2483298252178483
2,1.123375668882182
3,0.9855716314863248
4,0.9155757279598771
5,0.8794474504682059
6,0.8175156606170771
7,0.7566174022377237
8,0.7300714217158955
9,0.692509291371928
10,0.6715916940051683
11,0.6527427148129049
12,0.6341429488523389
13,0.6122336809040744
14,0.6076997300528458
